YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKDAY,15,TRAIN,EW26,16996,18870
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,EW26,8934,9180
2020-10,WEEKDAY,9,TRAIN,EW23,32584,34685
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,EW23,12380,11045
2020-10,WEEKDAY,21,TRAIN,DT34,1672,2817
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,DT34,426,1286
2020-10,WEEKDAY,20,TRAIN,DT5,7629,9758
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,DT5,3151,3490
2020-10,WEEKDAY,15,TRAIN,DT22,3811,3808
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,DT22,2008,2211
2020-10,WEEKDAY,21,TRAIN,CC27,2047,305
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,CC27,663,150
2020-10,WEEKDAY,15,TRAIN,SE4,2237,2924
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1217,1145
2020-10,WEEKDAY,19,TRAIN,PW6,645,1784
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,PW6,255,446
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,NE10,3381,3272
2020-10,WEEKDAY,8,TRAIN,NE10,17143,23126
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,NS5,8878,10376
2020-10,WEEKDAY,15,TRAIN,NS5,17359,22432
2020-10,WEEKDAY,11,TRAIN,DT13,4041,9112
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,DT13,1788,3983
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,DT27,954,1742
2020-10,WEEKDAY,20,TRAIN,DT27,5036,4611
2020-10,WEEKDAY,20,TRAIN,SW3,713,2774
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,SW3,370,968
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3,6711,4543
2020-10,WEEKDAY,14,TRAIN,EW16/NE3,20138,22870
2020-10,WEEKDAY,19,TRAIN,EW26,22089,50286
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,EW26,8560,12759
2020-10,WEEKDAY,6,TRAIN,BP3,10010,1266
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,BP3,801,158
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,17384,30373
2020-10,WEEKDAY,13,TRAIN,EW12/DT14,35135,45696
2020-10,WEEKDAY,8,TRAIN,CG2,4060,12671
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,CG2,1610,2631
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,NE13,5023,6845
2020-10,WEEKDAY,20,TRAIN,NE13,12536,18949
2020-10,WEEKDAY,19,TRAIN,NS17/CC15,13370,16872
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,4221,4107
2020-10,WEEKDAY,23,TRAIN,CC17,168,1006
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,CC17,113,390
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,DT18,693,2235
2020-10,WEEKDAY,10,TRAIN,DT18,2663,14105
2020-10,WEEKDAY,19,TRAIN,EW23,43280,52111
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,EW23,13080,14048
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,EW15,8050,6895
2020-10,WEEKDAY,14,TRAIN,EW15,20407,18369
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,6816,1412
2020-10,WEEKDAY,23,TRAIN,EW12/DT14,13822,3194
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,NS14,12478,7129
2020-10,WEEKDAY,12,TRAIN,NS14,27162,15884
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,SE4,1375,1177
2020-10,WEEKDAY,14,TRAIN,SE4,2657,3115
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,EW11,1219,1641
2020-10,WEEKDAY,23,TRAIN,EW11,2736,4095
2020-10,WEEKDAY,7,TRAIN,NS15,33748,54359
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,NS15,4742,3827
2020-10,WEEKDAY,12,TRAIN,EW30,1030,652
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,EW30,956,203
2020-10,WEEKDAY,12,TRAIN,NE11,4688,2844
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,NE11,2001,1153
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,PE5,2014,652
2020-10,WEEKDAY,8,TRAIN,PE5,8891,2984
2020-10,WEEKDAY,9,TRAIN,CC11,3881,34163
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,CC11,1084,4008
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,SE1,21,176
2020-10,WEEKDAY,0,TRAIN,SE1,34,409
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,13166,9426
2020-10,WEEKDAY,10,TRAIN,NS4/BP1,26476,20438
2020-10,WEEKDAY,22,TRAIN,NS5,7437,21367
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS5,3504,9671
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,SE3,134,1169
2020-10,WEEKDAY,22,TRAIN,SE3,243,2587
2020-10,WEEKDAY,13,TRAIN,CC19/DT9,5312,5506
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,3241,3886
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,DT23,490,757
2020-10,WEEKDAY,8,TRAIN,DT23,2516,9816
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,NS15,5259,4314
2020-10,WEEKDAY,14,TRAIN,NS15,18851,13438
2020-10,WEEKDAY,22,TRAIN,NS14,10051,31289
